 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text= Alle glider i tis, falder om, slår hovedet, der går ild i det, der kan gå ild i, hvilket man allerede ved, når man første gang kaster et blik på det nymalede flotte portræt af svigerfar.
1-1	Alle	al	PI:p-u#:--:----	
8-19	ikke	ikke	D-:----:--:u---	
8-20	blot	blot	D-:----:--:u---	
8-21	kompositorisk	kompositorisk	AD:----:--:p---	
8-22	fascinerende	fascinere	VP:##u#:s-:----	
8-23	,	,	ZD	
8-24	den	den	PP:s-uc:--:-3n-	
8-25	imponerer	imponere	VF:----:sa:----	
8-26	ydermere	ydermere	D-:----:--:u---	
8-27	,	,	ZD	
8-28	eftersom	eftersom	CS:----:--:----	
8-29	det	det	PP:s-un:--:-3n-	
8-30	lykkes	lykkes	VF:----:sp:----	
8-31	Marstein	Marstein	NP:siu#:--:----	
8-32	at	at	UI:----:--:----	
8-33	få	få	VI:----:-a:----	
8-34	(	(	ZD	
8-35	næsten	næsten	D-:----:--:u---	
8-36	)	)	ZD	
8-37	hver	hver	PI:s-uc:--:----	
8-38	og	og	CC:----:--:----	
8-39	en	en	PI:s-uc:--:----	
8-40	af	af	T-:----:--:----	
8-41	personerne	person	NC:pdu#:--:----	
8-42	til	til	T-:----:--:----	
8-43	at	at	UI:----:--:----	
8-44	materialisere	materialisere	VI:----:-a:----	
8-45	sig	sig	PP:#-u#:--:-3y-	
8-46	som	som	US:----:--:----	
8-47	tænkende	tænke	VP:##u#:s-:----	
8-48	mennesker	menneske	NC:piu#:--:----	
8-49	med	med	T-:----:--:----	
8-50	et	en	PI:s-un:--:----	
8-51	projekt	projekt	NC:siun:--:----	
8-52	,	,	ZD	
8-53	en	en	PI:s-uc:--:----	
8-54	refleksion	refleksion	NC:siuc:--:----	
8-55	eller	eller	CC:----:--:----	
8-56	en	en	PI:s-uc:--:----	
8-57	drift	drift	NC:siuc:--:----	
8-58	,	,	ZD	
8-59	som	som	US:----:--:----	
8-60	man	man	PI:#-uc:--:----	
8-61	involverer	involvere	VF:----:sa:----	
8-62	sig	sig	PP:#-u#:--:-3y-	
8-63	voldsomt	voldsom	AD:----:--:p---	
8-64	i	i	T-:----:--:----	
8-65	hen	hen	D-:----:--:u---	
8-66	over	over	T-:----:--:----	
8-67	de	den	PM:p-u#:--:----	
8-68	4	4	LC:--u-:--:----	
8-69	-	-	ZH	
8-70	5	5	LC:--u-:--:----	
8-71	sider	side	NC:piu#:--:----	
8-72	,	,	ZD	
8-73	bekendtskabet	bekendtskab	NC:sdun:--:----	
8-74	varer	vare	VF:----:sa:----	
8-75	;	;	ZP	
8-76	indtil	indtil	CS:----:--:----	
8-77	forfatteren	forfatter	NC:sduc:--:----	
8-78	slipper	slippe	VF:----:sa:----	
8-79	dette	denne	PM:s-un:--:----	
8-80	ene	ene	AC:§§u§:--:p---	
8-81	lille	lille	XY:----:--:----	
8-82	liv	liv	NC:siun:--:----	
8-83	for	for	T-:----:--:----	
8-84	at	at	UI:----:--:----	
8-85	tvinge	tvinge	VI:----:-a:----	
8-86	vores	vores	PO:#--#:--:-1np	
8-87	blik	blik|blik-2-1-1a|blik-1-4a|blik-1-2|blik-1-1|blik-1-4|blik-1-3|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik	NC:siun:--:----	
8-88	mod	mod	T-:----:--:----	
8-89	det	den	PM:s-un:--:----	
8-90	næste	næste	AC:§§u§:--:p---	
8-91	.	.	ZP	

#id=9
#text=Besætningen i det store motorhomes førerhus udveksler blikke.
9-1	Besætningen	besætning	NC:sduc:--:----	
9-2	i	i	T-:----:--:----	
9-3	det	den	PM:s-un:--:----	
9-4	store	stor	AC:sdu#:--:p---	
9-5	motorhomes	motorhomes	XY:----:--:----	
9-6	førerhus	førerhus	NC:siun:--:----	
9-7	udveksler	udveksle	VF:----:sa:----	
9-8	blikke	blik|blik-1-1|blik-1-3|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-2|blik-F-indre-blik	NC:piu#:--:----	
9-9	.	.	ZP	

#id=10
#text= Havskildpadden iagttager os med noget, der ligner et nysgerrigt blik, i nogle lange øjeblikke, inden den svømmer videre.
10-1	Havskildpadden	havskildpadde	NC:sduc:--:----	
10-2	iagttager	iagttage	VF:----:sa:----	
10-3	os	vi	PP:p-uc:--:-1#-	
10-4	med	med	T-:----:--:----	
10-5	noget	nogen	PI:s-un:--:----	
10-6	,	,	ZD	
10-7	der	der	US:----:--:----	
10-8	ligner	ligne	VF:----:sa:----	
10-9	et	en	PI:s-un:--:----	
10-10	nysgerrigt	nysgerrig	AC:siun:--:p---	
10-11	blik	blik|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-1-2|blik-1-4|blik-1-3|blik-1-1|blik-2-1-1a|blik-1-4a	NC:siun:--:----	
10-12	,	,	ZD	
10-13	i	i	T-:----:--:----	
10-14	nogle	nogen	PI:p-u#:--:----	
10-15	lange	lang	AC:p#u#:--:p---	
10-16	øjeblikke	øjeblik	NC:piu#:--:----	
10-17	,	,	ZD	
10-18	inden	inden	CS:----:--:----	
10-19	den	den	PP:s-uc:--:-3n-	
10-20	svømmer	svømme	VF:----:sa:----	
10-21	videre	videre	D-:----:--:u---	
10-22	.	.	ZP	

#id=11
#text= FC Nürnberg havde stor glæde af Jan Kristiansen, da han scorede sejrsmålet i den tyske pokalfinale i 2007, og nu har sydtyskerne igen rettet blikket mod en dansk spiller.
11-1	FC	FC	NP:siu#:--:----	
11-2	Nürnberg	Nürnberg	NP:siu#:--:----	
11-3	havde	have	VF:----:ta:----	
11-4	stor	stor	AC:siuc:--:p---	
11-5	glæde	glæde	NC:siuc:--:----	
11-6	af	af	T-:----:--:----	
11-7	Jan	Jan	NP:siu#:--:----	
11-8	Kristiansen	Kristiansen	NP:siu#:--:----	
11-9	,	,	ZD	
11-10	da	da	CS:----:--:----	
11-11	han	han	PP:s-nc:--:-3n-	
11-12	scorede	score	VF:----:ta:----	
11-13	sejrsmålet	sejrsmål	NC:sdun:--:----	
11-14	i	i	T-:----:--:----	
11-15	den	den	PM:s-uc:--:----	
11-16	tyske	tysk	AC:sdu#:--:p---	
11-17	pokalfinale	pokalfinale	NC:siuc:--:----	
11-18	i	i	T-:----:--:----	
11-19	2007	2007	LC:--u-:--:----	
11-20	,	,	ZD	
11-21	og	og	CC:----:--:----	
11-22	nu	nu	D-:----:--:u---	
11-23	har	have	VF:----:sa:----	
11-24	sydtyskerne	sydtysker	NC:pdu#:--:----	
11-25	igen	igen	D-:----:--:u---	
11-26	rettet	rette	VT:siu#:t-:----	
11-27	blikket	blik|blik-1-1|blik-1-4|blik-1-3|blik-1-2|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a	NC:sdun:--:----	
11-28	mod	mod	T-:----:--:----	
11-29	en	en	PI:s-uc:--:----	
11-30	dansk	dansk	AC:siu§:--:p---	
11-31	spiller	spiller	NC:siuc:--:----	
11-32	.	.	ZP	

#id=12
#text=Jeg kaster et blik ned over min smøre af ord og sætninger.
12-1	Jeg	jeg	PP:s-nc:--:-1n-	
12-2	kaster	kaste	VF:----:sa:----	
12-3	et	en	PI:s-un:--:----	
12-4	blik	blik|blik-1-1|blik-1-4|blik-1-4a|blik-1-3|blik-1-2|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a	NC:siun:--:----	
12-5	ned	ned	D-:----:--:u---	
12-6	over	over	T-:----:--:----	
12-7	min	min	PO:s--c:--:-1ns	
12-8	smøre	smøre	NC:siuc:--:----	
12-9	af	af	T-:----:--:----	
12-10	ord	ord	NC:siun:--:----	
12-11	og	og	CC:----:--:----	
12-12	sætninger	sætning	NC:piu#:--:----	
12-13	.	.	ZP	

#id=13
#text= Hvis du holder dit brunstige blik koldt og roligt, mens Sharon Stone krydser ben, pulser cigaret og viser skød.
13-1	Hvis	hvis	---:--:----	
13-2	du	du	PP:s-nc:--:-2n-	
13-3	holder	holde	VF:----:sa:----	
13-4	dit	dit	XY:----:--:----	
13-5	brunstige	brunstig	AC:sdu#:--:p---	
13-6	blik	blik|blik-1-1|blik-1-4|blik-1-3|blik-1-2|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a|blik-1-4a	NC:siun:--:----	
13-7	koldt	kold	AD:----:--:p---	
13-8	og	og	CC:----:--:----	
13-9	roligt	rolig	AC:siun:--:p---	
13-10	,	,	ZD	
13-11	mens	mens	CS:----:--:----	
13-12	Sharon	Sharon	NP:siu#:--:----	
13-13	Stone	Stones	NP:siu#:--:----	
13-14	krydser	krydse	VF:----:sa:----	
13-15	ben	ben	NC:siun:--:----	
13-16	,	,	ZD	
13-17	pulser	pulse	VF:----:sa:----	
13-18	cigaret	cigaret	NC:siuc:--:----	
13-19	og	og	CC:----:--:----	
13-20	viser	vise	VF:----:sa:----	
13-21	skød	skød	NC:siun:--:----	
13-22	.	.	ZP	

#id=14
#text=Strategiske beslutninger og kursændringer blev altid gennemført med sikker hånd og et skarpt blik for de store linjer.
14-1	Strategiske	strategisk	AC:p#u#:--:p---	
14-2	beslutninger	beslutning	NC:piu#:--:----	
14-3	og	og	CC:----:--:----	
14-4	kursændringer	kursændring	NC:piu#:--:----	
14-5	blev	blive	VF:----:ta:----	
14-6	altid	altid	D-:----:--:u---	
14-7	gennemført	gennemføre	VT:siu#:t-:----	
14-8	med	med	T-:----:--:----	
14-9	sikker	sikker	AC:siuc:--:p---	
14-10	hånd	hånd	NC:siuc:--:----	
14-11	og	og	CC:----:--:----	
14-12	et	en	PI:s-un:--:----	
14-13	skarpt	skarp	AC:siun:--:p---	
14-14	blik	blik|blik-1-2|blik-2-1-1a|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-1-4a|blik-1-4|blik-1-3|blik-1-1	NC:siun:--:----	
14-15	for	for	T-:----:--:----	
14-16	de	den	PM:p-u#:--:----	
14-17	store	stor	AC:p#u#:--:p---	
14-18	linjer	linje	NC:piu#:--:----	
14-19	.	.	ZP	

#id=15
#text=Det var en af Niels Fisch-Thomsens stærke egenskaber, at han formåede at vise udsyn og handlekraft og samtidig have blik for betydningen af detaljen - som det ordentlige menneske, han var.
15-1	Det	det	PP:s-un:--:-3n-	
15-2	var	være	VF:----:ta:----	
15-3	en	en	PI:s-uc:--:----	
15-4	af	af	T-:----:--:----	
15-5	Niels	Niels	NP:siu#:--:----	
15-6	Fisch	Fisch	NP:siu#:--:----	
15-7	-	-	ZH	
15-8	Thomsens	Thomsen	NP:sig#:--:----	
15-9	stærke	stærk	AC:p#u#:--:p---	
15-10	egenskaber	egenskab	NC:piu#:--:----	
15-11	,	,	ZD	
15-12	at	at	CS:----:--:----	
15-13	han	han	PP:s-nc:--:-3n-	
15-14	formåede	formå	VF:----:ta:----	
15-15	at	at	UI:----:--:----	
15-16	vise	vise	VI:----:-a:----	
15-17	udsyn	udsyn	NC:siun:--:----	
15-18	og	og	CC:----:--:----	
15-19	handlekraft	handlekraft	NC:siuc:--:----	
15-20	og	og	CC:----:--:----	
15-21	samtidig	samtidig	D-:----:--:u---	
15-22	have	have	VI:----:-a:----	
15-23	blik	blik|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-1|blik-1-4|blik-1-3|blik-1-2|blik-1-4a	NC:siun:--:----	
15-24	for	for	T-:----:--:----	
15-25	betydningen	betydning	NC:sduc:--:----	
15-26	af	af	T-:----:--:----	
15-27	detaljen	detalje	NW:----:--:----	
15-28	-	-	ZH	
15-29	som	som	US:----:--:----	
15-30	det	den	PM:s-un:--:----	
15-31	ordentlige	ordentlig	AC:sdu#:--:p---	
15-32	menneske	menneske	NC:siun:--:----	
15-33	,	,	ZD	
15-34	han	han	PP:s-nc:--:-3n-	
15-35	var	være	VF:----:ta:----	
