 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Det er muligt du ikke bliver top professionel, men det er vel heller ikke det vi snakker om.
2-14	set	se	VT:siu#:t-:----	
2-15	siden	siden	XY:----:--:----	
2-16	www	www	XS:----:--:----	
2-17	.	.	ZP	
2-18	geocities	geocitie	VF:----:sp:----	
2-19	.	.	ZP	
2-20	com	com	T-:----:--:----	
2-21	/	/	NC:siuc:--:----	
2-22	danskeduller	danskedulle	NC:piu#:--:----	
2-23	,	,	ZD	
2-24	som	som	US:----:--:----	
2-25	bare	bare	D-:----:--:u---	
2-26	var	være	VF:----:ta:----	
2-27	TOPPEN	top|top-F-på-toppen-af|top-til-tå|top-1a-1b|top-1|top-2|top-F-der-er-koldt-på-toppen|top-4|top-3|top-2a-2b|top-F-toppen-af-isbjerget|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-til-tops	NC:sduc:--:----	
2-28	!	!	ZP	
2-29	(	(	ZD	
2-30	Det	det	PP:s-un:--:-3n-	
2-31	tror	tro	VF:----:sa:----	
2-32	jeg	jeg	PP:s-nc:--:-1n-	
2-33	alle	al	PI:p-u#:--:----	
2-34	piger	pige	NC:piu#:--:----	
2-35	kan	kunne	VF:----:sa:----	
2-36	snakke	snakke	VI:----:-a:----	
2-37	med	med	D-:----:--:u---	
2-38	om	om	T-:----:--:----	
2-39	,	,	ZD	
2-40	riiight	riiight	NC:siuc:--:----	
2-41	?	?	ZQ	

#id=3
#text=Samme tøjstil. zteffN i stramme slangeskindsbukser, en lille top, stort hår og 30 cm. høje pleatusko.
3-1	Samme	samme	AC:§§u§:--:p---	
3-2	tøjstil	tøjstil	NC:siuc:--:----	
3-3	.	.	ZP	
3-4	zteffN	zteffN	NP:siu#:--:----	
3-5	i	i	T-:----:--:----	
3-6	stramme	stram	AC:p#u#:--:p---	
3-7	slangeskindsbukser	slangeskindsbuks	NC:piu#:--:----	
3-8	,	,	ZD	
3-9	en	en	PI:s-uc:--:----	
3-10	lille	lille	AC:s§u§:--:p---	
3-11	top	top|top-4|top-F-til-tops|top-F-toppen-af-isbjerget|top-F-på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-3|top-1a-1b|top-2|top-1|top-2a-2b|top-F-toppen-af/på-kransekagen|top-F-tånd/grå-i-toppen	NC:siuc:--:----	
3-12	,	,	ZD	
3-13	stort	stor	AC:siun:--:p---	
3-14	hår	hår	NC:siun:--:----	
3-15	og	og	CC:----:--:----	
3-16	30	30	LC:--u-:--:----	
3-17	cm	centimeter	NC:piu#:--:----	
3-18	.	.	ZP	
3-19	høje	høj	#:--:p---	
3-20	pleatusko	pleatusko	NC:piu#:--:----	
3-21	.	.	ZP	

#id=4
#text=Erotisk buttede bamser er toppen af poppen :roll: :lol: :roll:
4-1	Erotisk	erotisk	AD:----:--:p---	
4-2	buttede	buttet	AC:p#u#:--:p---	
4-3	bamser	bamse	NC:piu#:--:----	
4-4	er	være	VF:----:sa:----	
4-5	toppen	top|top-2|top-2a-2b|top-1a-1b|top-1|top-3|top-F-der-er-koldt-på-toppen|top-F-på-toppen-af|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops|top-F-fra-top-til-tå|top-4	NC:sduc:--:----	
4-6	af	af	T-:----:--:----	
4-7	poppen	pop	NC:sduc:--:----	
4-8	:	:	ZP	
4-9	roll	roll	NC:siuc:--:----	
4-10	:	:	ZP	
4-11	:	:	ZP	
4-12	lol	lol	NC:siuc:--:----	
4-13	:	:	ZP	
4-14	:	:	ZP	
4-15	roll	roll	NC:siuc:--:----	
4-16	:	:	ZP	

#id=5
#text=Mest afslappet stil, men det sker jeg nogengange at jeg tar' en grøn top med sløjfer og en cream-farvet nederdel på og et par sorte højhælede hvis det skal være helt vildt!
5-1	Mest	megen	AD:----:--:s---	
5-2	afslappet	afslappet	AC:siu§:--:p---	
5-3	stil	stil	NC:siuc:--:----	
5-4	,	,	ZD	
5-5	men	men	CC:----:--:----	
5-6	det	det	PP:s-un:--:-3n-	
5-7	sker	ske	VF:----:sa:----	
5-8	jeg	jeg	PP:s-nc:--:-1n-	
5-9	nogengange	nogengange	NC:piu#:--:----	
5-10	at	at	CS:----:--:----	
5-11	jeg	jeg	PP:s-nc:--:-1n-	
5-12	tar	tage	VF:----:sa:----	
5-13	'	'	ZA	
5-14	en	en	PI:s-uc:--:----	
5-15	grøn	grøn	AC:siuc:--:p---	
5-16	top	top|top-F-fra-top-til-tå|top-F-til-tops|top-F-toppen-af-isbjerget|top-F-toppen-af/på-kransekagen|top-F-tånd/grå-i-toppen|top-F-på-toppen-af|top-F-der-er-koldt-på-toppen|top-2|top-1a-1b|top-1|top-2a-2b|top-4|top-3	NC:siuc:--:----	
5-17	med	med	T-:----:--:----	
5-18	sløjfer	sløjfe	NC:piu#:--:----	
5-19	og	og	CC:----:--:----	
5-20	en	en	PI:s-uc:--:----	
5-21	cream	cream	NP:siu#:--:----	
5-22	-	-	ZH	
5-23	farvet	farvet	AC:siu§:--:p---	
5-24	nederdel	nederdel	NC:siuc:--:----	
5-25	på	på	T-:----:--:----	
5-26	og	og	CC:----:--:----	
5-27	et	en	PI:s-un:--:----	
5-28	par	par	NC:siun:--:----	
5-29	sorte	sort	AC:p#u#:--:p---	
5-30	højhælede	højhælet	AC:p#u#:--:p---	
5-31	hvis	hvis	CS:----:--:----	
5-32	det	det	PP:s-un:--:-3n-	
5-33	skal	skulle	VF:----:sa:----	
5-34	være	være	VI:----:-a:----	
5-35	helt	hel	AD:----:--:p---	
5-36	vildt	vild	AD:----:--:p---	
5-37	!	!	ZP	

#id=6
#text=Det er dog et lille billede og man kan se toppen af ham, men here it is:
6-1	Det	det	PP:s-un:--:-3n-	
6-2	er	være	VF:----:sa:----	
6-3	dog	dog	D-:----:--:u---	
6-4	et	en	PI:s-un:--:----	
6-5	lille	lille	AC:s§u§:--:p---	
6-6	billede	billede	NC:siun:--:----	
6-7	og	og	CC:----:--:----	
6-8	man	man	PI:#-uc:--:----	
6-9	kan	kunne	VF:----:sa:----	
6-10	se	se	VI:----:-a:----	
6-11	toppen	top|top-2|top-3|top-4|top-F-der-er-koldt-på-toppen|top-F-på-toppen-af|top-F-toppen-af-isbjerget|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-til-tops|top-F-fra-top-til-tå|top-2a-2b|top-1a-1b|top-1	NC:sduc:--:----	
6-12	af	af	T-:----:--:----	
6-13	ham	han	PP:s-uc:--:-3n-	
6-14	,	,	ZD	
6-15	men	men	CC:----:--:----	
6-16	here	here	XY:----:--:----	
6-17	it	it	XF:----:--:----	
6-18	is	is	XF:----:--:----	
6-19	:	:	ZP	

#id=7
#text=Fordi at det simpelthen er superfrækt - ved ikke lige, hvorfor det er så frækt, men det at  se to piger stå og kysse (sådan rigtig, på den gode måde...) det er bare toppen, da slår alt andet fra i min krop - da mister jeg fokus på alt andet, hvad jeg ellers skulle  have gang i...
7-1	Fordi	fordi	CS:----:--:----	
7-2	at	at	CS:----:--:----	
7-3	det	det	PP:s-un:--:-3n-	
7-4	simpelthen	simpelthen	D-:----:--:u---	
7-5	er	være	VF:----:sa:----	
7-6	superfrækt	superfræk	AD:----:--:p---	
7-7	-	-	NC:piu#:--:----	
7-8	ved	ved	T-:----:--:----	
7-9	ikke	ikke	D-:----:--:u---	
7-10	lige	lige	D-:----:--:u---	
7-11	,	,	ZD	
7-12	hvorfor	hvorfor	D-:----:--:u---	
7-13	det	det	PP:s-un:--:-3n-	
7-14	er	være	VF:----:sa:----	
7-15	så	så	D-:----:--:u---	
7-16	frækt	fræk	AC:siun:--:p---	
7-17	,	,	ZD	
7-18	men	men	CC:----:--:----	
7-19	det	det	PP:s-un:--:-3n-	
7-20	at	at	UI:----:--:----	
7-21	se	se	:----	
7-22	to	to	LC:--u-:--:----	
7-23	piger	pige	NC:piu#:--:----	
7-24	stå	stå	VI:----:-a:----	
7-25	og	og	CC:----:--:----	
7-26	kysse	kysse	VI:----:-a:----	
7-27	(	(	ZD	
7-28	sådan	sådan	D-:----:--:u---	
7-29	rigtig	rigtig	AC:siuc:--:p---	
7-30	,	,	ZD	
7-31	på	på	T-:----:--:----	
7-32	den	den	PM:s-uc:--:----	
7-33	gode	god	AC:sdu#:--:p---	
7-34	måde	måde	NC:siuc:--:----	
7-35	.	.	ZP	
7-36	.	.	ZP	
7-37	.	.	ZP	
7-38	)	)	ZD	
7-39	det	det	PP:s-un:--:-3n-	
7-40	er	være	VF:----:sa:----	
7-41	bare	bare	D-:----:--:u---	
7-42	toppen	top|top-3|top-4|top-F-fra-top-til-tå|top-F-på-toppen-af|top-F-til-tops|top-F-toppen-af/på-kransekagen|top-F-tånd/grå-i-toppen|top-F-toppen-af-isbjerget|top-F-der-er-koldt-på-toppen|top-1a-1b|top-2a-2b|top-2|top-1	NC:sduc:--:----	
7-43	,	,	ZD	
7-44	da	da	D-:----:--:u---	
7-45	slår	slå	VF:----:sa:----	
7-46	alt	al	PI:s-un:--:----	
7-47	andet	anden	PI:s-un:--:----	
7-48	fra	fra	T-:----:--:----	
7-49	i	i	T-:----:--:----	
7-50	min	min	PO:s--c:--:-1ns	
7-51	krop	krop	NW:----:--:----	
7-52	-	-	ZH	
7-53	da	da	D-:----:--:u---	
7-54	mister	miste	VF:----:sa:----	
7-55	jeg	jeg	PP:s-nc:--:-1n-	
7-56	fokus	fokus	NC:siuc:--:----	
7-57	på	på	T-:----:--:----	
7-58	alt	al	PI:s-un:--:----	
7-59	andet	anden	PI:s-un:--:----	
7-60	,	,	ZD	
7-61	hvad	hvad	PR:s-u#:--:----	
7-62	jeg	jeg	PP:s-nc:--:-1n-	
7-63	ellers	ellers	D-:----:--:u---	
7-64	skulle	skulle	VF:----:ta:----	
7-65	have	have	VI:----:-a:----	
7-66	gang	gang	NC:siuc:--:----	
7-67	i	i	T-:----:--:----	
7-68	.	.	ZP	
7-69	.	.	ZP	
7-70	.	.	ZP	

#id=8
#text=Ligemeget om den kampscene er lang eller ej, var filmen jo i top, for ellers gad man da ikke gå ind og se 3'eren..
8-1	Lige	lige	D-:----:--:u---	
8-2	meget	megen	AD:----:--:p---	
8-3	om	om	T-:----:--:----	
8-4	den	den	PM:s-uc:--:----	
8-5	kampscene	kampscene	NC:siuc:--:----	
8-6	er	være	VF:----:sa:----	
8-7	lang	lang	AC:siuc:--:p---	
8-8	eller	eller	CC:----:--:----	
8-9	ej	ej	D-:----:--:u---	
8-10	,	,	ZD	
8-11	var	være	VF:----:ta:----	
8-12	filmen	film	NC:sduc:--:----	
8-13	jo	jo	D-:----:--:u---	
8-14	i	i	T-:----:--:----	
8-15	top	top|top-F-der-er-koldt-på-toppen|top-F-fra-top-til-tå|top-F-på-toppen-af|top-F-til-tops|top-F-toppen-af-isbjerget|top-F-toppen-af/på-kransekagen|top-F-tånd/grå-i-toppen|top-4|top-1|top-1a-1b|top-2|top-2a-2b|top-3	NC:siuc:--:----	
8-16	,	,	ZD	
8-17	for	for	CC:----:--:----	
8-18	ellers	ellers	D-:----:--:u---	
8-19	gad	gide	VF:----:ta:----	
8-20	man	man	PI:#-uc:--:----	
8-21	da	da	D-:----:--:u---	
8-22	ikke	ikke	D-:----:--:u---	
8-23	gå	gå	VI:----:-a:----	
8-24	ind	ind	D-:----:--:u---	
8-25	og	og	CC:----:--:----	
8-26	se	se	VI:----:-a:----	
8-27	3	3	LC:--u-:--:----	
8-28	'	'	ZA	
8-29	eren	@eren	MN:sduc:--:----	
8-30	.	.	ZP	
8-31	.	.	ZP	

